citation,query,title,url
43,technical indicators predict stock price,[PDF] [PDF]   Predicting stock prices  using  technical analysis  and machine learning,https://www.academia.edu/download/50426774/fulltext01.pdf
110,momentum features for stock return factors,Factor momentum  everywhere,https://jpm.pm-research.com/content/45/3/13.short
62,momentum features for stock return factors,Momentum  strategies for Islamic  stocks,https://www.sciencedirect.com/science/article/pii/S0927538X16300762
1286,momentum features for stock return factors,"Can book-to- market , size and  momentum  be risk  factors  that predict economic growth?",https://www.sciencedirect.com/science/article/pii/S0304405X00000568
153,momentum features for stock return factors,Momentum  in Australian  stock  returns,https://journals.sagepub.com/doi/pdf/10.1177/031289620302800202
112,momentum features for stock return factors,"Fundamentally,  momentum  is fundamental  momentum",https://www.nber.org/papers/w20984
63,momentum features for stock return factors,Understanding  momentum  and reversal,https://www.sciencedirect.com/science/article/pii/S0304405X21000878
407,momentum features for stock return factors,"Size, value, and  momentum  in emerging  market stock  returns",https://www.sciencedirect.com/science/article/pii/S1566014113000198
1,momentum features for stock return factors,Fundamental  momentum  and enhanced fundamental  momentum : Evidence from the Chinese  stock market,https://www.sciencedirect.com/science/article/pii/S1059056022000326
56,momentum features for stock return factors,Momentum  investing: A survey,https://link.springer.com/article/10.1057/palgrave.jam.2240133
581,momentum features for stock return factors,Is  momentum  really  momentum ?,https://www.sciencedirect.com/science/article/pii/S0304405X11001152
1724,geometric shapes technical indicators stock market,"Foundations of  technical analysis : Computational algorithms, statistical inference, and empirical implementation",https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.00265
91,geometric shapes technical indicators stock market,"Fuzzy logic,  trading  uncertainty and  technical trading",https://www.sciencedirect.com/science/article/pii/S0378426612002889
5,geometric shapes technical indicators stock market,Understanding  technical analysis : A conceptual framework,https://www.indianjournals.com/ijor.aspx?target=ijor:ijarmss&volume=4&issue=4&article=021
4,geometric shapes technical indicators stock market,The effectiveness of the automatic system of fuzzy logic-based  technical patterns  recognition: Evidence from Tehran  stock exchange,https://amfa.arak.iau.ir/article_666547.html
556,geometric shapes technical indicators stock market,[BOOK] [B]   Technical analysis : the complete resource for financial  market  technicians,https://books.google.com/books?hl=en&lr=&id=I5SgX5q5sQEC&oi=fnd&pg=PR9&dq=geometric+shapes+technical+indicators+stock+market&ots=knpYCCVG8A&sig=w-rQvBYOiwVbbwPY2o1Ep5qe90I
1,geometric shapes technical indicators stock market,[PDF] [PDF]   The Implementation of Nature Laws in the  Mathematical  Models for Successful Prediction in the  Technical Analysis,http://www.sciencehorizon.ru/wp-content/uploads/2017/08/Nauchnyie_gorizontyi_---2_18_20191.pdf#page=88
864,geometric shapes technical indicators stock market,What do we know about the profitability of  technical analysis ?,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-6419.2007.00519.x
11,geometric shapes technical indicators stock market,"Chaos and order in the  capital markets : A new view of cycles, prices, and  market  volatility",https://www.jstor.org/stable/2329084
,geometric shapes technical indicators stock market,[PDF] [PDF]   A Review of the Behaviors of  Technical Analysis  Based on Selected  Shares  of Dhaka  Stock Exchange  (DSE),https://www.researchgate.net/profile/Shapan-Majumder/publication/345778983_Impact_of_Environmental_Quality_on_Healthcare_Expenditures_in_Bangladesh/links/5fadb03792851cf7dd194981/Impact-of-Environmental-Quality-on-Healthcare-Expenditures-in-Bangladesh.pdf#page=137
2233,geometric shapes technical indicators stock market,"[BOOK] [B]   Chaos and order in the  capital markets : a new view of cycles, prices, and  market  volatility",https://books.google.com/books?hl=en&lr=&id=Qi0meDlDrgQC&oi=fnd&pg=PA1&dq=geometric+shapes+technical+indicators+stock+market&ots=lcIdYeKBv4&sig=EYBlfgpsRvMQzOAKfKXq3GB5fXs
citation,query,title,url
155,price+based+indicators+stock+prediciton,Intelligent technical analysis  based  equivolume charting for  stock  trading using neural networks,https://www.sciencedirect.com/science/article/pii/S0957417406003617
10,price+based+indicators+stock+prediciton,Stock  market forecasting using machine learning models,https://ieeexplore.ieee.org/abstract/document/8946372/
,price+based+indicators+stock+prediciton,Sector- Based Stock Price Prediction  with Machine Learning Models,http://saucis.sakarya.edu.tr/tr/pub/issue/74792/1200151
927,price+based+indicators+stock+prediciton,[HTML] [HTML]   A deep learning framework for financial time series using stacked autoencoders and long-short term memory,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0180944
941,price+based+indicators+stock+prediciton,Analyst  forecast  revisions and market  price  discovery,https://publications.aaahq.org/accounting-review/article-abstract/78/1/193/2704
2105,price+based+indicators+stock+prediciton,Financial time series forecasting using support vector machines,https://www.sciencedirect.com/science/article/pii/S0925231203003722
1077,price+based+indicators+stock+prediciton,"Do macro variables, asset markets, or surveys  forecast  inflation better?",https://www.sciencedirect.com/science/article/pii/S0304393206002303
890,price+based+indicators+stock+prediciton,A recurrent neural network  based  health  indicator  for remaining useful life  prediction  of bearings,https://www.sciencedirect.com/science/article/pii/S0925231217303363
,price+based+indicators+stock+prediciton,Effectiveness of Momentum  Indicators  to Improve Accuracy of  Stock Price Prediction  for Large-Captial  Stocks,https://ieeexplore.ieee.org/abstract/document/8693327/
1413,price+based+indicators+stock+prediciton,"Fundamental analysis, future earnings, and  stock prices",https://www.jstor.org/stable/2491464
68,price+and+volume+data+for+stock+market,Stock price  and  volume  relation in emerging  markets,https://www.tandfonline.com/doi/abs/10.1080/1540496X.2005.11052599
,geometric+shapes+technical+indicators+stock+market,[PDF] [PDF]   Wave59,http://www.wave59.de/pdf/PR_WAVE59.pdf
130,geometric+shapes+technical+indicators+stock+market,Large  stock price  changes:  volume  or liquidity?,https://www.tandfonline.com/doi/abs/10.1080/14697680500168008
1611,geometric+shapes+technical+indicators+stock+market,Price  and  volume  effects associated with changes in the S&P 500 list: New evidence for the existence of  price  pressures,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1986.tb04550.x
292,geometric+shapes+technical+indicators+stock+market,An empirical analysis of the  stock price - volume  relationship,https://www.sciencedirect.com/science/article/pii/0378426688900489
,geometric+shapes+technical+indicators+stock+market,[CITATION] [C]   The Effectiveness of the Automatic System of Fuzzy Logic-Based  Technical Patterns  Recognition: Evidence from Tehran  Stock Exchange,
,geometric+shapes+technical+indicators+stock+market,Creation of Investors' Expectations: The Role of Investor Relations and Company Information Policy,https://link.springer.com/chapter/10.1007/978-3-319-06847-3_4
60,geometric+shapes+technical+indicators+stock+market,[BOOK] [B]   Technical analysis  plain and simple: Charting the  markets  in your language,https://books.google.com/books?hl=en&lr=&id=1FgYckfdj1MC&oi=fnd&pg=PT17&dq=geometric+shapes+technical+indicators+stock+market&ots=CZGrXm2FeZ&sig=H9SiXn1cgmXIv3GzkUR43P2E214
2226,geometric+shapes+technical+indicators+stock+market,The  price  variability- volume  relationship on speculative  markets,https://www.jstor.org/stable/1912002
244,geometric+shapes+technical+indicators+stock+market,The  stock price – volume  relationship in emerging  stock markets : the case of Latin America,https://www.sciencedirect.com/science/article/pii/S0169207098000284
2034,geometric+shapes+technical+indicators+stock+market,Stock  prices and  volume,https://academic.oup.com/rfs/article-abstract/5/2/199/1592094
1774,geometric+shapes+technical+indicators+stock+market,[BOOK] [B]   Technological transitions and system innovations: a co-evolutionary and socio- technical analysis,https://books.google.com/books?hl=en&lr=&id=SDfrb7TNX5oC&oi=fnd&pg=PR6&dq=geometric+shapes+technical+indicators+stock+market&ots=FEz9vVCpZL&sig=zQPvxjxNH0SIe_zlsJKWKkXt7Nk
,geometric+shapes+technical+indicators+stock+market,Technical Analysis  of Financial  Markets : A Critical Study,https://huskiecommons.lib.niu.edu/studentengagement-honorscapstones/1093/
,geometric+shapes+technical+indicators+stock+market,[CITATION] [C]   ABM—ACT,
140,geometric+shapes+technical+indicators+stock+market,Price  and  volume  effects of changes in MSCI indices–nature and causes,https://www.sciencedirect.com/science/article/pii/S0378426604000901
3634,geometric+shapes+technical+indicators+stock+market,The relation between  price  changes and  trading volume : A survey,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/relation-inter-price-changes-and-trading-volume-a-survey/DBE2C70FA41E390EB8FA418BBFFD76C8
620,geometric+shapes+technical+indicators+stock+market,A LSTM-based method for  stock  returns prediction: A case study of China  stock market,https://ieeexplore.ieee.org/abstract/document/7364089/
3,geometric+shapes+technical+indicators+stock+market,Automate the identification of  technical patterns : a  K -nearest-neighbour model approach,https://www.tandfonline.com/doi/abs/10.1080/00036846.2017.1383596
33,geometric+shapes+technical+indicators+stock+market,Investment implications of the fractal  market  hypothesis,https://www.worldscientific.com/doi/abs/10.1142/S2010495219500015
,geometric+shapes+technical+indicators+stock+market,"[PDF] [PDF]   Analysis  of  Trading  with Harmonic  Patterns  in US  Stock , Forex, and Crypto  Market",http://home.cse.ust.hk/~rossiter/independent_studies_projects/trading_harmonic_patterns/trading_harmonic_patterns.pdf
7,momentum+features+for+stock+return+factors,… and volatility switch boost  momentum  to show greater inefficiency and avoid crashes in emerging markets? The economic relationship in  factor  investing in emerging …,https://www.sciencedirect.com/science/article/pii/S1062976921000387
87,momentum+features+for+stock+return+factors,The  momentum  effect in Latin American emerging markets,https://www.tandfonline.com/doi/abs/10.2753/REE1540-496X430402
18,momentum+features+for+stock+return+factors,[PDF] [PDF]   News  momentum,https://ipl.econ.duke.edu/seminars/system/files/seminars/2516.pdf
16,momentum+features+for+stock+return+factors,"Do asset pricing models explain size, value,  momentum  and liquidity effects? The case of an emerging  stock market",https://journals.sagepub.com/doi/pdf/10.1177/0972652714550927
489,momentum+features+for+stock+return+factors,Contrarian and  momentum  strategies in the China  stock market : 1993–2000,https://www.sciencedirect.com/science/article/pii/S0927538X0200046X
2099,momentum+features+for+stock+return+factors,"Alternative  factor  specifications, security  characteristics , and the cross-section of expected  stock  returns",https://www.sciencedirect.com/science/article/pii/S0304405X98000282
46,momentum+features+for+stock+return+factors,Equity market momentum : A synthesis of the literature and suggestions for future work,https://www.sciencedirect.com/science/article/pii/S0927538X18303998
2278,momentum+features+for+stock+return+factors,Do industries explain  momentum ?,https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.00146
780,momentum+features+for+stock+return+factors,Momentum  has its moments,https://www.sciencedirect.com/science/article/pii/S0304405X14002566
826,momentum+features+for+stock+return+factors,Are  momentum  profits robust to trading costs?,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.2004.00656.x
4,momentum+features+for+stock+return+factors,"[PDF] [PDF]   The Relations Between  Momentum , Value Size, And Liquidity  Factors  And  Stock  Returns On The Polish  Market",https://bibliotekanauki.pl/articles/955318.pdf
66,momentum+features+for+stock+return+factors,Explaining  momentum  and value simultaneously,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2017.2735
62,momentum+features+for+stock+return+factors,Contrarian and  momentum  profitability revisited: Evidence from the London  Stock Exchange  1964–2005,https://www.sciencedirect.com/science/article/pii/S1042444X07000138
26,momentum+features+for+stock+return+factors,Sustainable investing based on  momentum  strategies in emerging  stock  markets: A case study for Bombay  Stock Exchange  (BSE) of India,https://www.ceeol.com/search/article-detail?id=874525
